City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,Qaqortoq,60.7167,-46.0333,273.52,75,5,3.02,GL,2022-04-16 18:41:24
225,Luocheng,29.3848,104.0286,283.68,94,100,1.36,CN,2022-04-16 18:41:24
226,Sanghar,26.0466,68.9481,304.34,34,100,8.11,PK,2022-04-16 18:41:25
227,Doha,25.2867,51.5333,305.32,49,100,2.57,QA,2022-04-16 18:39:15
228,Ponta Delgada,37.7333,-25.6667,291.55,77,20,6.69,PT,2022-04-16 18:41:25
229,Saint George,37.1041,-113.5841,298.59,18,0,3.58,US,2022-04-16 18:39:17
230,Anadyr,64.75,177.4833,271.43,80,40,3.0,RU,2022-04-16 18:41:26
231,Luneville,48.6,6.5,286.83,56,8,5.96,FR,2022-04-16 18:42:26
232,Gat,31.61,34.7642,295.04,43,24,2.06,IL,2022-04-16 18:42:27
233,Vicuna,-30.0319,-70.7081,301.91,25,0,3.56,CL,2022-04-16 18:42:27
234,Christchurch,-43.5333,172.6333,285.34,80,100,1.54,NZ,2022-04-16 18:42:27
235,Aripuana,-9.1667,-60.6333,301.36,81,90,0.09,BR,2022-04-16 18:42:28
236,San Andres,12.5847,-81.7006,303.16,66,20,4.63,CO,2022-04-16 18:42:28
237,Husavik,66.0449,-17.3389,280.64,81,100,5.79,IS,2022-04-16 18:42:29
238,Yulara,-25.2406,130.9889,295.06,53,2,3.09,AU,2022-04-16 18:42:29
239,Samarai,-10.6167,150.6667,299.47,83,100,0.85,PG,2022-04-16 18:42:29
240,Razole,16.4833,81.8333,299.81,93,9,2.5,IN,2022-04-16 18:42:30
241,Havre-Saint-Pierre,50.2334,-63.5986,277.35,87,100,6.69,CA,2022-04-16 18:42:30
242,Kulhudhuffushi,6.6221,73.07,302.27,71,57,3.28,MV,2022-04-16 18:42:31
243,Ulaangom,49.9811,92.0667,277.12,37,0,0.14,MN,2022-04-16 18:42:31
244,Juterbog,51.9833,13.0833,283.4,57,97,3.49,DE,2022-04-16 18:42:32
245,Arman,59.7,150.1667,261.62,81,9,3.71,RU,2022-04-16 18:42:32
246,Bandarbeyla,9.4942,50.8122,301.06,78,5,4.4,SO,2022-04-16 18:42:32
247,Gao,16.6362,1.637,304.13,9,100,4.64,ML,2022-04-16 18:42:33
248,Deputatskiy,69.3,139.9,255.44,98,99,0.71,RU,2022-04-16 18:42:33
