City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
508,Swan Hill,AU,-35.3378,143.5544,56.53,73,97,7.52,overcast clouds
509,Elban,RU,50.1018,136.5094,26.74,96,93,1.9,overcast clouds
510,Plouzane,FR,48.3833,-4.6167,55.72,85,100,10.36,overcast clouds
511,Kieta,PG,-6.2167,155.6333,77.94,84,69,3.4,light rain
512,Ferme-Neuve,CA,46.7001,-75.4493,49.32,45,95,9.06,overcast clouds
513,Namie,JP,37.4833,141.0,51.71,90,66,4.03,broken clouds
514,Porto Murtinho,BR,-21.6989,-57.8825,91.81,41,29,10.94,scattered clouds
515,Sept-Iles,CA,50.2001,-66.3821,41.54,80,36,6.04,scattered clouds
516,Nome,US,64.5011,-165.4064,37.47,87,100,3.44,overcast clouds
517,Nishihara,JP,26.1842,127.7558,75.25,97,20,9.22,few clouds
518,Rundu,NA,-17.9333,19.7667,69.8,35,13,3.0,few clouds
519,Senneterre,CA,48.3835,-77.2328,43.57,71,100,13.73,overcast clouds
520,Mantua,IT,45.1667,10.7833,60.04,77,98,2.82,overcast clouds
521,Evensk,RU,61.95,159.2333,24.57,88,100,25.84,light snow
522,Jiaozuo,CN,35.2397,113.2331,72.63,49,100,11.25,light rain
523,Coracora,PE,-15.0333,-73.7833,63.66,50,9,10.96,clear sky
524,Tubuala,PA,9.5167,-79.0333,82.47,73,36,4.03,scattered clouds
525,Bisira,PA,8.5196,-81.7115,69.89,70,87,3.78,overcast clouds
526,Haines Junction,CA,60.7522,-137.5108,35.96,86,100,1.36,overcast clouds
527,Canto Do Buriti,BR,-8.11,-42.9444,90.3,41,97,3.44,overcast clouds
528,Yuzhnyy,RU,53.2542,83.6936,29.53,64,0,4.47,clear sky
529,Karaton,ID,-6.3424,106.1045,74.93,95,81,4.59,broken clouds
530,Tulun,RU,54.5611,100.5792,16.66,84,57,5.46,broken clouds
531,Mayo,US,38.8876,-76.5119,83.12,60,0,4.0,clear sky
532,Tabou,CI,4.423,-7.3528,83.48,77,93,10.49,overcast clouds
533,Vanimo,PG,-2.6741,141.3028,78.44,86,86,3.42,overcast clouds
534,Kununurra,AU,-15.7667,128.7333,69.78,88,79,0.0,broken clouds
535,San Cristobal,VE,7.7669,-72.225,69.98,55,83,4.92,broken clouds
536,Oistins,BB,13.0667,-59.5333,84.29,61,75,20.71,broken clouds
537,Shakawe,BW,-18.3667,21.85,71.28,34,13,2.55,few clouds
538,Pyapon,MM,16.2833,95.6833,84.11,69,20,8.5,few clouds
539,Laem Sing,TH,12.4816,102.0738,86.14,80,5,5.84,clear sky
540,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,87,75,21.85,broken clouds
541,Snyder,US,32.7179,-100.9176,72.09,45,100,16.11,overcast clouds
542,Kisangani,CD,0.5167,25.2,71.92,99,99,2.75,overcast clouds
543,Nyurba,RU,63.2842,118.3319,17.33,97,100,3.33,overcast clouds
544,Paranaiba,BR,-19.6772,-51.1908,93.07,30,22,5.57,few clouds
